device_type,source_mib_object,source_value,source_meaning,nsp_severity,nsp_probable_cause,service_affecting,confidence,notes
dsl-modem,alarmSeverity (ACTELIS-ALARM-MIB),CR,Critical (TL1),Critical,"(see alarmName / alarmDescription text -- free-text, not a closed enum; see notes)",see alarmServiceAffect (SA/NSA) on same row,confirmed,Service-affecting condition requiring immediate action.
dsl-modem,alarmSeverity (ACTELIS-ALARM-MIB),MJ,Major (TL1),Major,"(see alarmName / alarmDescription text -- free-text, not a closed enum; see notes)",see alarmServiceAffect (SA/NSA) on same row,confirmed,"Serious condition, action required but not immediately service-down."
dsl-modem,alarmSeverity (ACTELIS-ALARM-MIB),MN,Minor (TL1),Minor,"(see alarmName / alarmDescription text -- free-text, not a closed enum; see notes)",see alarmServiceAffect (SA/NSA) on same row,confirmed,"Non-serious condition, does not affect service."
dsl-modem,alarmSeverity (ACTELIS-ALARM-MIB),NA,Non-alarmed / reported condition (TL1),Warning,"(see alarmName / alarmDescription text -- free-text, not a closed enum; see notes)",see alarmServiceAffect (SA/NSA) on same row,confirmed,"TL1 RTRV-COND reports NA conditions too (per alarmTable DESCRIPTION) -- these are informational/condition reports, not true alarms. Map to Warning or Indeterminate rather than Cleared; confirm against NSP's exact enum once SDK access exists."
dsl-modem,alarmServiceAffect (ACTELIS-ALARM-MIB),SA,Service-affecting (TL1),"(modifier, not a severity itself)",n/a,yes,confirmed,Text field per object DESCRIPTION -- 'SA' for service affecting.
dsl-modem,alarmServiceAffect (ACTELIS-ALARM-MIB),NSA,Non-service-affecting (TL1),"(modifier, not a severity itself)",n/a,no,confirmed,Text field per object DESCRIPTION -- 'NSA' for non-service affecting.
dsl-modem,"alarmName (ACTELIS-ALARM-MIB) -- free text, no closed enum",LOSW,Loss of Sync Word -- DSL line sync lost,(see alarmSeverity CR/MJ/MN/NA mapping above),Loss Of Signal,(see alarmServiceAffect on same row),inferred -- needs live-unit or TL1-doc confirmation,"Matches hdsl2ShdslEndpointCurrStatus loss-of-sync-word bit (HDSL2-SHDSL-LINE-MIB) -- plausible pairing, not confirmed."
dsl-modem,"alarmName (ACTELIS-ALARM-MIB) -- free text, no closed enum",LOS,Loss of Signal -- no signal detected on the line,(see alarmSeverity CR/MJ/MN/NA mapping above),Loss Of Signal,(see alarmServiceAffect on same row),inferred -- needs live-unit or TL1-doc confirmation,"Standard telco condition name; not seen verbatim in the MIB text, included as a likely candidate."
dsl-modem,"alarmName (ACTELIS-ALARM-MIB) -- free text, no closed enum",HSLDWN,High-Speed Link Down (example given in the MIB itself),(see alarmSeverity CR/MJ/MN/NA mapping above),Link Failure,(see alarmServiceAffect on same row),inferred -- needs live-unit or TL1-doc confirmation,Verbatim example from alarmName's own DESCRIPTION.
dsl-modem,"alarmName (ACTELIS-ALARM-MIB) -- free text, no closed enum",INTRUDER,Unauthorized access attempt (example given in the MIB itself),(see alarmSeverity CR/MJ/MN/NA mapping above),Unauthorized Access Attempt,(see alarmServiceAffect on same row),inferred -- needs live-unit or TL1-doc confirmation,"Verbatim example from alarmName's own DESCRIPTION -- a security event, not a line-fault condition."
dsl-modem,"alarmName (ACTELIS-ALARM-MIB) -- free text, no closed enum",SESH,Severely Errored Seconds threshold crossed,(see alarmSeverity CR/MJ/MN/NA mapping above),Excessive Bit Error Rate,(see alarmServiceAffect on same row),inferred -- needs live-unit or TL1-doc confirmation,Plausible name given hdsl2Shdsl SES counters and Hdsl2ShdslPerfIntervalThreshold objects exist on this device -- not confirmed.
switch,"currentAlarmLevel / historyAlarmLevel / alarmProfileLevel (VTSSAlarmLevel, ML540M-SYSTEM-MIB)",alm-minor(1),Minor,Minor,(see currentAlarmTypeId / VTSSAlarmType),n/a -- not modeled on this platform,confirmed,"Only two levels exist on this platform -- no Critical/Warning distinction at the switch-alarm level. If NSP needs finer granularity, it has to come from elsewhere (e.g. per-trap semantics in MSTP/ERPS/EPS MIBs) rather than this field."
switch,"currentAlarmLevel / historyAlarmLevel / alarmProfileLevel (VTSSAlarmLevel, ML540M-SYSTEM-MIB)",alm-major(2),Major,Major,(see currentAlarmTypeId / VTSSAlarmType),n/a -- not modeled on this platform,confirmed,"Only two levels exist on this platform -- no Critical/Warning distinction at the switch-alarm level. If NSP needs finer granularity, it has to come from elsewhere (e.g. per-trap semantics in MSTP/ERPS/EPS MIBs) rather than this field."
switch,"currentAlarmState / historyAlarmState (VTSSAlarmState, ML540M-SYSTEM-MIB)",alm-Set(1),(alarm raised -- combine with level for full severity),(use with alarm level),n/a,n/a,confirmed,"State transition, not itself a severity -- pair with currentAlarmLevel for the full NSP alarm record."
switch,"currentAlarmState / historyAlarmState (VTSSAlarmState, ML540M-SYSTEM-MIB)",alm-Cleared(2),Cleared,Cleared,n/a,n/a,confirmed,"State transition, not itself a severity -- pair with currentAlarmLevel for the full NSP alarm record."
switch,"currentAlarmTypeId / historyAlarmTypeId / alarmProfileId (VTSSAlarmType, ML540M-SYSTEM-MIB)",alarmGEPortNLinkDown(101-125),alarmGEPortNLinkDown(101-125),(see currentAlarmLevel on same row/index),Link Failure,yes,confirmed,One value per GE port (101=port1 .. 125=port25).
switch,"currentAlarmTypeId / historyAlarmTypeId / alarmProfileId (VTSSAlarmType, ML540M-SYSTEM-MIB)",alarmSystemOverHeat(400),alarmSystemOverHeat(400),(see currentAlarmLevel on same row/index),Temperature Unacceptable,no,confirmed,
switch,"currentAlarmTypeId / historyAlarmTypeId / alarmProfileId (VTSSAlarmType, ML540M-SYSTEM-MIB)",alarmPower1NotFeed(301),alarmPower1NotFeed(301),(see currentAlarmLevel on same row/index),Power Problem,no,confirmed,Power supply 1 not feeding.
switch,"currentAlarmTypeId / historyAlarmTypeId / alarmProfileId (VTSSAlarmType, ML540M-SYSTEM-MIB)",alarmPower2NotFeed(302),alarmPower2NotFeed(302),(see currentAlarmLevel on same row/index),Power Problem,no,confirmed,Power supply 2 not feeding.
switch,"eventLevel (VTSSEventLevel, ML540M-SYSTEM-MIB)",evt-Error(1),Error,Warning,(see the specific VTSSEventType value on the same row),n/a,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","The event log (link up/down, config save, login/logout, LED state, etc.) is a separate, lower-priority stream from the alarm table above -- useful for NSP's event/audit trail but distinct from fault-management alarms. Only login/logout/config-save carry no fault meaning at all; consider whether NSP should surface those as alarms or just as log entries."
switch,"eventLevel (VTSSEventLevel, ML540M-SYSTEM-MIB)",evt-Notice(2),Notice,Indeterminate,(see the specific VTSSEventType value on the same row),n/a,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","The event log (link up/down, config save, login/logout, LED state, etc.) is a separate, lower-priority stream from the alarm table above -- useful for NSP's event/audit trail but distinct from fault-management alarms. Only login/logout/config-save carry no fault meaning at all; consider whether NSP should surface those as alarms or just as log entries."
switch,"eventLevel (VTSSEventLevel, ML540M-SYSTEM-MIB)",evt-Warning(3),Warning,Warning,(see the specific VTSSEventType value on the same row),n/a,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","The event log (link up/down, config save, login/logout, LED state, etc.) is a separate, lower-priority stream from the alarm table above -- useful for NSP's event/audit trail but distinct from fault-management alarms. Only login/logout/config-save carry no fault meaning at all; consider whether NSP should surface those as alarms or just as log entries."
switch,"eventLevel (VTSSEventLevel, ML540M-SYSTEM-MIB)",evt-Info(4),Info,Indeterminate,(see the specific VTSSEventType value on the same row),n/a,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","The event log (link up/down, config save, login/logout, LED state, etc.) is a separate, lower-priority stream from the alarm table above -- useful for NSP's event/audit trail but distinct from fault-management alarms. Only login/logout/config-save carry no fault meaning at all; consider whether NSP should surface those as alarms or just as log entries."
switch,"ml540mErpsStatusFopAlarm (TruthValue, ML540M-ERPS-MIB)",TRUE,FailureOfProtocol alarm active,Major,ERPS Protocol Failure,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",APS signaling itself is unreliable -- the ring may still be passing traffic on its current (possibly non-optimal) path.
switch,"ml540mErpsStatusProtectionState (VTSSErpsProtectionState, ML540M-ERPS-MIB)",protected(3),Ring has switched onto its protection path,Major,Ring Protection Switch Active,yes,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","A working link/node has failed and traffic is running on the backup path -- the fault itself is elsewhere (e.g. a GE port link-down alarm on the failed span), this is the ring's response to it."
switch,"ml540mErpsStatusProtectionState (VTSSErpsProtectionState, ML540M-ERPS-MIB)",forcedSwitch(4) / manualSwitch(5),Operator-forced ring switch,Warning,Ring Protection Manually Forced,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed","Deliberate operator action, not a device fault -- flag so it isn't mistaken for an autonomous failure."
switch,"ml540mErpsStatusProtectionState (VTSSErpsProtectionState, ML540M-ERPS-MIB)",pending(6),Ring protection state transition in progress (hold-off/guard/WTR timer),Indeterminate,Ring Protection State Transitioning,no,"confirmed for source_value; nsp_severity mapping is a reasonable default, not NSP-confirmed",Transient -- re-poll; settles to idle(2)/protected(3) once the timer expires.
